user_id,first_approved_day,s2_approved_contracts,s2_total_usdt,s1_usdt_requests,is_completely_new,수집시각(KST)
9996bc26-071e-4d75-be51-ce337cc5577e,2026-06-28,12,32680,293,0,2026-07-08 05:04:24
9ab3e339-2f96-42a0-80cd-656ccd96249f,2026-06-28,2,2040,45,0,2026-07-08 05:04:24
9dba1fdf-cebb-4363-b2f6-37e0c1a19524,2026-06-28,2,2040,35,0,2026-07-08 05:04:24
a469097a-951b-432d-8a6f-93c48491587f,2026-06-28,7,7580,43,0,2026-07-08 05:04:24
ab164b3a-1cbb-4f2a-9600-23bbe273a47e,2026-06-28,5,4260,105,0,2026-07-08 05:04:24
aba4d1b6-3d31-4fc3-bd4c-24b3a7531b94,2026-06-28,2,2040,52,0,2026-07-08 05:04:24
b7f03559-db66-4de5-a6bb-ddfab59dfd7c,2026-06-28,7,4360,236,0,2026-07-08 05:04:24
b9a6be19-5fea-4a15-a6a4-8cefd28a2b2f,2026-06-28,4,2340,112,0,2026-07-08 05:04:24
ba02fafe-514d-4ca6-9f87-3c120922a385,2026-06-28,5,3940,109,0,2026-07-08 05:04:24
bb6c6b42-9d38-48cc-8d18-304654a0755a,2026-06-28,3,2240,312,0,2026-07-08 05:04:24
bbf08f6e-c7f2-4aa4-9e9a-978853fe4dc0,2026-06-28,12,10020,376,0,2026-07-08 05:04:24
bd6e1138-3b96-4fa5-be59-21b87d5797d7,2026-06-28,2,2040,152,0,2026-07-08 05:04:24
c17e29e6-9183-47b8-a96a-3da3bc4274b8,2026-06-28,11,10120,319,0,2026-07-08 05:04:24
c4562467-7ddb-4182-8ee9-a57854ec6b3c,2026-06-28,2,2040,39,0,2026-07-08 05:04:24
c4c21bba-afce-49c3-974d-73300faee6f1,2026-06-28,4,3040,267,0,2026-07-08 05:04:24
c754836a-9972-4b12-9828-b8cc2684a5d2,2026-06-28,3,2240,210,0,2026-07-08 05:04:24
cc5d2ed1-8ac9-4c34-b844-bca18db73f28,2026-06-28,2,2240,114,0,2026-07-08 05:04:24
cf2981dd-c0b8-4e68-b079-7c16bfb163e8,2026-06-28,9,20260,165,0,2026-07-08 05:04:24
d0657b3b-a819-4084-9f19-d06117a5f2f3,2026-06-28,3,19180,26,0,2026-07-08 05:04:24
d0af9d6b-a800-4dac-a75b-7a49facb0fc6,2026-06-28,3,3040,36,0,2026-07-08 05:04:24
d33c2204-2ee1-4d09-94d4-b0d20e82ae23,2026-06-28,2,2040,33,0,2026-07-08 05:04:24
d498f9cd-06e4-43e0-b8e3-20de326972ed,2026-06-28,6,5260,241,0,2026-07-08 05:04:24
d4c6a0f4-81da-4568-8b8d-b2be9d47d9c4,2026-06-28,4,6300,186,0,2026-07-08 05:04:24
d631d400-e567-4152-af3f-6d120eb1cb8b,2026-06-28,3,4060,84,0,2026-07-08 05:04:24
db0c5b76-aaa4-470e-b0a2-70fdb613ae25,2026-06-28,2,2040,205,0,2026-07-08 05:04:24
db12b2cc-cd0d-4f88-8668-2de10759f9e4,2026-06-28,1,2000,42,0,2026-07-08 05:04:24
de3fd2ea-3aaf-41f3-86dd-4758f4f6f5cd,2026-06-28,2,2040,11,0,2026-07-08 05:04:24
df8f81d6-c129-4d66-9501-1126d2f2808d,2026-06-28,3,3040,128,0,2026-07-08 05:04:24
dfd177f5-0e24-4971-b737-3d8585c201b5,2026-06-28,2,2040,109,0,2026-07-08 05:04:24
e33b8e2a-7559-4a9f-8dda-0d87160a0981,2026-06-28,9,9120,454,0,2026-07-08 05:04:24
e5a36b6e-b38c-4979-b9a2-7fc52e848f6a,2026-06-28,1,2000,54,0,2026-07-08 05:04:24
e8c3a491-e37b-499d-a051-d8eba2e768c1,2026-06-28,7,4740,92,0,2026-07-08 05:04:24
f0eb78d7-3663-4042-94af-59518f808a2b,2026-06-28,10,8100,185,0,2026-07-08 05:04:24
